off,2006
IND,0.285
SD,0.257
PHI,0.211
NE,0.141
CIN,0.140
DAL,0.120
NYG,0.120
NO,0.100
PIT,0.071
JAC,0.068
KC,0.063
NYJ,0.056
WAS,0.040
STL,0.025
BAL,0.009
ATL,-0.006
CAR,-0.022
DEN,-0.048
GB,-0.049
CHI,-0.050
HOU,-0.063
BUF,-0.075
SF,-0.082
ARI,-0.094
TEN,-0.095
MIA,-0.100
SEA,-0.112
DET,-0.134
TB,-0.160
CLE,-0.165
MIN,-0.179
OAK,-0.370
